# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8045844863619553,4.425268148781912,-135.19764558887533,0,3.0,-6.189051429767706,-179.62552311327715,0.0,0.2523462936532814
 0.028055014128530075,1.8037467830812492,4.424436205081972,-135.19764558887533,0.08416504238559021,2.9999999999999996,-6.189051429767706,-179.61844353444343,-37.23716851639778,1.9735579520378512
 0.0388160959258699,1.8029755970386214,4.42368096061174,-135.59835780518162,0.11644828777760971,3.0000000000000018,-6.801646939363168,-179.59720591588976,-52.43646698847847,4.629482260631463
 0.046461077073854266,1.8022721539731474,4.423001635355446,-135.99923360677545,0.13938323122156282,3.0000000000000027,-7.559332921121018,-179.5618136112823,-64.36265201538704,7.94156301411138
 0.05269932031614192,1.801637679623901,4.42239744929731,-136.40074348576613,0.1415057788144649,0.3402476483305134,-8.522355207151378,-179.51227220947632,-69.10154867532205,10.922691060386018
 0.05852963040098403,1.8010733997299575,4.421867622421561,-136.80362694188608,0.12401484855993859,-2.999999999999998,-9.79048204818015,-179.44858953363334,-69.59461774845559,13.355834840673314
 0.06435584003710103,1.8005805400303911,4.421411374712423,-137.209099774434,0.1065362196515876,-2.9999999999999987,-11.542434657590789,-179.37077563998622,-70.52853856998233,15.807078710667033
 0.0701717675350414,1.8001603262642765,4.421027926154121,-137.6192886412927,0.0890884371577665,-3.0,-14.134814107217418,-179.27884281625074,-72.31856196453157,18.30356493442974
 0.07596502349064628,1.7998139841706886,4.42071649673088,-138.0382485810945,0.07170866929095183,-3.000000000000002,-18.39971882513359,-179.17280557968556,-76.01468444701335,20.919734477695375
 0.08170720463611801,1.7995427394887016,4.420476306426926,-138.47473866890516,0.05448212585453662,-3.0000000000000036,-26.82193347101595,-179.05268067479946,-85.01517501043168,23.917444917402538
 0.08731790446443843,1.7993478179573905,4.420306575226485,-138.9517332967408,0.037650026369575346,-3.0000000000000013,-50.99915844078726,-178.91848707070753,-116.96016928434734,28.755574045556006
 0.09247311758371901,1.7992304453158297,4.420206523113779,-139.55468789586874,0.022184387011733604,-3.000000000000002,-263.3356458862076,-178.77024595813543,-560.0969793213184,59.10067183645638
 0.09521869063762757,1.799191847303094,4.4201753700730375,-141.09247506986893,0.013947667850007932,-2.9999999999999973,-15421.196165832831,-178.60798074607337,-58911.8684194304,58.61794527388993
 0.0982256825608434,1.7992332496582581,4.420212336088482,41.760012411350466,0.022968643619655397,2.999999999999998,-221.89526130191086,-178.43171705807927,-263.3645874184551,36.40373174414268
 0.10345136467451921,1.7993558781203964,4.42031664114434,40.38375279750224,0.038645689960682836,2.9999999999999996,-47.650194777563556,-178.24148272823285,-103.15914890490916,36.056868186854835
 0.10911394552970348,1.7995609584285837,4.420487505224836,39.799605775876195,0.055633432526235656,3.0000000000000013,-25.311570839742735,-178.03730779674007,-80.00899181551348,37.58248349084889
 0.11491673638581375,1.7998497163218945,4.420724148314195,39.335330329762535,0.07304180509456647,3.0000000000000013,-17.288489924172378,-177.81922450518945,-72.04866427070421,39.53215559257469
 0.12078429433330404,1.8002233775394036,4.421025790396643,38.912580617114905,0.09064447893703735,3.000000000000002,-13.169491444186225,-177.58726729146082,-68.22061254283787,41.62283894159655
 0.12668957406490872,1.8006831678201856,4.421391651456403,38.50971881658803,0.10836031813185139,3.0,-10.646763061437532,-177.34147278428716,-65.98125848069759,43.76819658991032
 0.13262066117934754,1.8012303129033151,4.421820951477704,38.1183782246187,0.12615357947516784,2.999999999999998,-8.933911216280695,-177.08187979747052,-64.48271786535115,45.93429301383849
 0.13857156312607774,1.8018660385278666,4.422312910444768,37.73464789334333,0.14400628531535847,3.000000000000005,-7.690299860355381,-176.8085293237528,-63.375496288504515,48.10534284288937
 0.14453898334274157,1.802591570432915,4.422866748341823,37.356459675550205,0.16190854596534998,3.0000000000000044,-6.743966739107317,-176.5214645283426,-62.49386257319069,50.273033099726355
 0.1505209933330116,1.8034081343575348,4.423481685153091,36.98262076530682,0.1798545759361601,3.0,-5.998411859429621,-176.22073074209885,-61.75094701234822,52.43253198154642
 0.15651641784992948,1.8043169560408006,4.4241569408628,36.61239762364609,0.19784084948691372,3.0,-5.395130995332142,-175.9063754543726,-61.09765267141713,54.58078870145922
 0.16252452357112504,1.8053192612217872,4.424891735455174,36.24531646707933,0.21586516665050037,2.9999999999999956,-4.896505554965618,-175.578448305508,-60.504552764228144,56.715733783648254
 0.16854484992020038,1.806416275639569,4.425685288914438,35.88105931383382,0.23392614569772643,3.0000000000000044,-4.4772010993420235,-175.23700107900316,-59.95316286184224,58.835872372633105
 0.17457711172507243,1.8076092250332207,4.4265368212248175,35.519406139421065,0.25202293111234253,2.9999999999999956,-4.119507081926228,-174.8820876933334,-59.43142025886227,60.94006392292197
 0.18062114050001163,1.808899335141817,4.427445552370538,35.16020092524099,0.27015501743716014,3.0,-3.8106558598053595,-174.51376419343663,-58.93120176751972,63.027396449388455
 0.18667684759049732,1.8102878317044326,4.428410702335825,34.803330828846576,0.2883221387086172,3.0,-3.5412026944233,-174.1320887418632,-58.446892773852966,65.09711152115443
 0.192744200243209,1.8117759404601421,4.4294314911049035,34.44871291893239,0.3065241966667523,3.0,-3.304005930758151,-173.73712160959147,-57.97452780134129,67.14855780662396
